pos,neu,neg
0.00011,0.0002,6.00E-05
0.00043,0.00031,3.00E-05
7.00E-05,0.00024,1.00E-05
0.00031,8.00E-05,1.60E-04
0.00025,0.0004,0.00023
0.00029,0.0002,0.00027
0.00014,0.00013,0.00014
3.00E-05,7.00E-05,1.10E-04
0.00012,0.00017,0.00017
8.00E-05,5.00E-05,1.00E-04
0.00029,4.00E-05,1.10E-04
1.00E-04,9.00E-05,9.00E-05
1.00E-04,0.00011,0.00021
0.00015,0.00018,8.00E-05
0.00012,5.00E-05,2.00E-05
4.00E-05,3.00E-05,1.00E-05
0.00017,2.00E-05,1.20E-04
0.00018,1.00E-04,1.70E-04
0.00029,0.00018,7.00E-05
1.00E-04,0.00046,7.00E-05
0.00021,0.00017,7.00E-05
1.00E-05,0.00028,8.00E-05
0.00018,0.00042,2.00E-05
6.00E-05,0.00035,7.00E-05
7.00E-05,0.00015,7.00E-05
0.00016,6.00E-05,2.20E-04
8.00E-05,0.0002,0.00042
1.00E-04,9.00E-05,6.00E-05
1.00E-04,0.00011,3.00E-05
0.00021,0.00025,6.00E-05
9.00E-05,7.00E-05,1.00E-04
4.00E-05,0.00015,0.00024
1.00E-05,7.00E-05,1.80E-04
2.00E-05,6.00E-05,1.00E-04
6.00E-05,6.00E-05,6.00E-05
2.00E-05,3.00E-05,2.60E-04
2.00E-05,9.00E-05,2.60E-04
0.0001,0.00012,1.00E-05
6.00E-05,8.00E-05,8.00E-05
0.0001,0.0005,0.00013
0.00013,0.00054,0.00018
0.00017,0.00019,0.0003
0.00018,0.00024,0.00053
0.0002,0.00045,0.00079
1.00E-04,0.00047,1.00E-04
1.00E-04,0.00051,1.00E-04
0.00021,0.00036,0.00017
0,0.00026,0.00019
1.00E-04,0.00016,0.00021
1.00E-05,5.00E-05,2.20E-04
8.00E-05,4.00E-05,2.00E-05
1.00E-04,4.00E-05,2.00E-04
0.00011,3.00E-05,5.00E-05
0.00026,0.00013,0.00027
6.00E-05,0.00026,0.00031
0.00012,0.00028,0.00021
8.00E-05,3.00E-05,5.00E-05
6.00E-05,0.00048,0.00026
0.00086,0.00016,0.00019
3.00E-05,0.00033,3.00E-05
0.00096,0.00017,0.0002
0.0006,0.00015,0.00024
0.00033,6.00E-05,3.70E-04
0.00025,0.00014,1.00E-05
5.00E-05,8.00E-05,4.80E-04
0.00017,3.00E-05,1.60E-04
0.0002,3.00E-05,4.00E-05
0.00057,3.00E-05,6.00E-05
0.00026,3.00E-05,4.00E-05
0.00013,6.00E-05,4.00E-05
6.00E-05,1.00E-05,5.00E-05
0.00035,0,9.00E-05
3.00E-05,0.00029,7.00E-05
3.00E-05,9.00E-05,1.30E-04
8.00E-05,4.00E-05,1.40E-04
2.00E-05,0.0002,6.00E-05
0.00025,0.00021,3.00E-05
0.00026,0.00116,9.00E-05
0.00022,1.00E-04,1.20E-04
0.00022,0.00058,0.00011
0.00051,0.00021,0.00039
0.00046,0.00011,0.00114
0.00016,9.00E-05,3.70E-04
0.00016,0.00011,0.00036
9.00E-05,0.00041,0.00013
0.00016,0.00013,0.00026
0.00015,0.00013,4.00E-05
5.00E-05,0.00021,0.00011
6.00E-05,6.00E-05,2.00E-04
8.00E-05,1.00E-05,3.40E-04
3.00E-05,0.00011,0.00048
3.00E-05,0.00025,0.00036
6.00E-05,0.00067,8.00E-05
6.00E-05,0.00051,0.00029
7.00E-05,5.00E-05,3.20E-04
0.00039,0.00042,0.00036
8.00E-05,0.00052,0.00096
0.00018,0.00042,0.00012
0.00021,6.00E-05,4.60E-04
8.00E-05,0.00019,0.00021
0,0.00034,0.00011
0.00063,4.00E-05,1.00E-04
0.00066,0.00026,0.00021
0.00044,0.00151,0.00172
0.0008,0.00021,0.00027
0.0008,0.00045,0.00043
0.0003,0.00047,0.00036
6.00E-05,1.00E-04,1.00E-05
0.00017,0.00014,0.00011
0.00042,9.00E-05,4.00E-05
0.00055,0.0003,7.00E-05
0.00018,0.00014,6.00E-05
0,9.00E-05,3.40E-04
0.00021,3.00E-05,2.00E-04
0.00024,0.00034,6.00E-05
4.00E-05,0.00042,8.00E-05
0.00019,0.00016,1.00E-05
0.00021,0.00014,0.00028
0.00014,0.00019,0.00014
0.00022,0.00017,0.00038
0.00037,3.00E-05,1.20E-04
0.00037,0.0005,0.00012
0.00028,0.00016,0.00035
2.00E-05,0.00034,0.00024
0.00017,9.00E-05,3.50E-04
0.00017,0.00025,0.00039
0.00011,0.00041,0.00019
0.00022,3.00E-05,5.20E-04
0.00022,5.00E-05,5.40E-04
7.00E-05,0.00036,0.00069
4.00E-05,0.00036,0.00015
0.00014,0.00049,0.00031
0.00039,0.00099,0.00013
0.00039,0.0002,0.00032
2.00E-05,0.00012,0.00036
5.00E-05,0.00013,0.00013
0,0.00035,0.00023
6.00E-05,0.00024,8.00E-05
0.00028,0.00011,0.00013
0.00028,9.00E-05,3.80E-04
3.00E-05,7.00E-05,5.00E-05
0.00043,0.00011,2.00E-05
7.00E-05,0.0002,0.00033
0.00014,0.00036,1.00E-04
3.00E-05,0.0002,0.00013
0.00012,2.00E-05,9.00E-05
6.00E-05,3.00E-05,1.20E-04
6.00E-05,0.00025,0.00011
2.00E-05,7.00E-05,1.70E-04
2.00E-05,0.00013,6.00E-05
0.00025,9.00E-05,3.00E-05
0.00022,1.00E-04,1.70E-04
0.00035,1.00E-05,2.00E-05
0.00022,9.00E-05,3.40E-04
0.00021,1.00E-05,3.40E-04
2.00E-05,0.00017,0.00014
0.00044,0.00022,7.00E-05
0.00032,0.0001,0.00025
0.00151,8.00E-05,1.00E-04
0.00045,0.00022,0.00016
0.00045,0.00015,6.00E-05
6.00E-05,0.00011,6.00E-05
0.00046,7.00E-05,6.00E-05
0.00046,8.00E-05,1.30E-04
0.00039,8.00E-05,7.00E-05
0.00037,9.00E-05,1.00E-05
0.00032,2.00E-05,1.50E-04
9.00E-05,0.00023,0.00011
9.00E-05,0.00018,0.0004
0.00012,5.00E-05,6.70E-04
0.00036,0.00049,0.00012
0.00013,4.00E-05,4.10E-04
0.00013,0.00032,0.00033
6.00E-05,0.0002,0.00035
0.00022,0.00032,0.00039
0.00027,0.00012,9.00E-05
4.00E-05,0.00017,0.00047
3.00E-05,1.00E-04,3.10E-04
3.00E-05,0.00023,1.00E-04
4.00E-05,0.00039,2.00E-05
1.00E-04,0.00011,0.00017
0.0002,1.00E-05,0.00E+00
4.00E-05,1.00E-05,7.00E-04
0.00013,4.00E-05,1.10E-04
9.00E-05,3.00E-05,6.40E-04
0,0.00014,0.00016
2.00E-05,0.00016,0.00023
0.00016,5.00E-05,2.00E-05
0.00017,6.00E-05,8.00E-05
3.00E-05,8.00E-05,2.70E-04
0.00021,7.00E-05,4.00E-05
0.00014,0.00062,0.00012
8.00E-05,0,8.00E-05
2.00E-05,0.00022,0.00018
9.00E-05,5.00E-05,4.00E-05
0.00021,0.00011,9.00E-05
0.00011,4.00E-05,1.60E-04
0.00011,7.00E-05,5.00E-05
9.00E-05,6.00E-05,5.00E-05
0.00016,1.00E-04,1.10E-04
1.00E-05,0.00067,0.00043
6.00E-05,0.00056,8.00E-05
0.00011,0.0002,0.00018
0.00024,0.00014,0.00012
0.00017,1.00E-04,2.80E-04
1.00E-05,0.00034,0.00031
0.00017,3.00E-05,1.10E-04
9.00E-05,1.00E-05,1.00E-04
0.00011,9.00E-05,6.00E-05
9.00E-05,0.00051,0.00032
9.00E-05,0.00042,0.00013
6.00E-05,0.00012,0.00019
0.00016,0.00022,9.00E-05
8.00E-05,0.00051,5.00E-05
0.00064,8.00E-05,1.90E-04
0.00025,0.00024,5.00E-05
0.0004,0,0.00041
0.00016,0.00016,0
0,0.00011,1.00E-04
8.00E-05,0.00024,0.00018
0.00064,0.0003,0.00025
2.00E-05,0.00012,3.00E-05
0.00042,8.00E-05,2.10E-04
0.00022,0.00238,0.00015
0.00062,0.00024,1.00E-04
0.00031,0.00025,0.0002
2.00E-05,8.00E-05,3.90E-04
7.00E-05,0.00011,0
1.00E-04,5.00E-05,3.00E-04
5.00E-05,0.00054,0.00028
8.00E-05,6.00E-05,1.10E-04
0.0002,0.00013,8.00E-05
1.00E-04,0.00025,0.00022
5.00E-05,7.00E-05,9.20E-04
5.00E-05,0.00013,0.00021
8.00E-05,0.00064,0.00024
1.00E-04,0.00018,0.00032
0.00015,0.00029,1.00E-04
0.00079,0.00044,0.00053
0,1.00E-05,2.80E-04
0.0003,5.00E-05,1.10E-04
0.00025,0.00042,7.00E-05
4.00E-05,0.00018,0.00044
9.00E-05,1.00E-04,1.30E-04
0.00018,0.00011,0.00013
0.00015,4.00E-05,2.00E-04
5.00E-05,9.00E-05,2.20E-04
0.00026,4.00E-05,5.00E-04
2.00E-05,8.00E-05,1.20E-04
3.00E-05,1.00E-05,1.80E-04
0.0002,9.00E-05,9.00E-05
0.00086,0.00026,4.00E-05
0.00031,0.00059,2.00E-05
0.00016,0.00044,0.00013
0.00028,1.00E-04,1.10E-04
0.00044,0.00013,7.00E-05
0.00064,1.00E-04,1.40E-04
1.00E-04,1.00E-04,1.10E-04
0.00044,0.00012,0.0002
0.00051,3.00E-05,2.40E-04
0.00015,9.00E-05,5.90E-04
0.00017,9.00E-05,4.20E-04
2.00E-05,7.00E-05,7.60E-04
0.00015,9.00E-05,9.00E-05
0.00013,0.00042,0.00019
0.00027,0.00046,0.00014
0.00027,2.00E-05,6.50E-04
0.00053,1.00E-04,2.20E-04
0.00053,0.00025,0.00033
0.00059,0.00042,0.00028
0.00028,0.00011,0.00017
0.00024,1.00E-05,3.90E-04
5.00E-05,5.00E-05,None
5.00E-05,None,None
1.00E-05,None,None
0.00047,None,None
0.00027,None,None
0.00016,None,None
0.00051,None,None
0.00053,None,None
0.00024,None,None
9.00E-05,None,None
3.00E-05,None,None
3.00E-05,None,None
0.00025,None,None
0.0002,None,None
1.00E-05,None,None
0.00029,None,None
1.00E-04,None,None
0.00018,None,None
0.00011,None,None
0.00012,None,None
0.00036,None,None
8.00E-05,None,None
0.00015,None,None
9.00E-05,None,None
0.00019,None,6.00E-05
0.00059,None,7.00E-05
0.00025,None,4.00E-05
0.00033,None,0.00029
9.00E-05,None,0.00013
0.00066,0.00043,0.00069
0.00022,0.00014,0.00092
0.00033,7.00E-05,6.10E-04
0.00017,6.00E-05,2.40E-04
0.00023,7.00E-05,1.30E-04
0.00021,3.00E-05,6.00E-05
0.00052,6.00E-05,4.70E-04
0.00067,0.00032,0.00014
0.0002,7.00E-05,1.00E-04
0.00023,0.0004,4.00E-05
0.00015,0.00018,3.00E-05
0.00054,0.00097,0.00011
0.00018,0.00029,7.00E-05
0.00025,0.00023,0.0004
3.00E-05,0.00012,0.0004
0.0002,7.00E-05,1.40E-04
1.00E-05,1.00E-05,4.00E-05
3.00E-05,7.00E-05,1.10E-04
0.00022,0.00062,5.00E-05
0.00045,0.00014,0.00015
0.0002,5.00E-05,0.00E+00
6.00E-05,0.00014,0.00019
5.00E-05,0.00014,0.00018
0.00013,3.00E-05,1.30E-04
0.00014,6.00E-05,4.30E-04
0.00011,4.00E-05,3.00E-04
0.00011,0.0002,2.00E-05
0.00017,0.00029,0.00025
6.00E-05,0.00026,1.00E-04
0.00015,0.00011,9.00E-05
5.00E-05,0.00011,0.00022
0.00035,0.00013,0.00026
0.00016,0.00015,7.00E-05
0.00057,0.00026,0.00068
8.00E-05,0.00016,0.00053
8.00E-05,0.00015,0.00174
4.00E-05,8.00E-05,1.80E-04
9.00E-05,0.00022,0.00014
5.00E-05,0.00022,0.00018
0.00024,0.00014,0.00017
0.00048,5.00E-05,9.00E-05
0.00014,0.00019,0.0002
0.00014,0.00022,0.00014
0.00021,0.00012,4.00E-05
0.00025,5.00E-05,2.00E-05
0.00012,1.00E-04,4.00E-04
0.00012,1.00E-04,9.00E-05
0.00018,0.00016,0.00011
4.00E-05,0.00022,1.00E-04
1.00E-04,1.00E-04,8.00E-05
0.00011,1.00E-04,1.10E-04
None,0.00018,1.00E-05
None,0.00019,4.00E-05
None,0.00019,3.00E-05
None,5.00E-05,1.20E-04
None,1.00E-04,2.10E-04
None,2.00E-05,2.00E-05
None,0.00012,6.00E-05
None,1.00E-04,4.50E-04
None,0.00011,0.00087
None,0.00028,0.00014
None,0.00035,0.00069
None,0.00012,0.00034
None,0.0004,0.00017
None,0.00027,0.0002
None,0.00112,5.00E-05
None,0.00025,1.00E-05
None,0.00018,0.00011
None,1.00E-04,5.00E-05
None,1.00E-04,1.00E-05
None,0.00011,0.00016
None,0.00036,0.00028
0.00043,1.00E-05,1.80E-04
0.0002,0.00018,0.00029
0.00019,0.00013,1.00E-05
1.00E-05,0.00028,4.00E-05
0,0.00015,0.00013
5.00E-05,0.00023,0.00034
4.00E-05,0.00016,0.00028
0.00017,0.00039,0.00011
1.00E-05,0.0004,5.00E-05
0.0006,6.00E-05,3.60E-04
0.00018,0.00022,6.00E-05
0.00015,0.00063,3.00E-05
0.00021,3.00E-05,1.40E-04
9.00E-05,9.00E-05,0.00E+00
0.00026,0.00016,5.00E-05
0,0.00015,6.00E-05
0.00052,0.00011,0.00018
1.00E-05,8.00E-05,8.00E-05
3.00E-05,5.00E-05,7.00E-05
7.00E-05,5.00E-05,1.00E-04
8.00E-05,0.00017,0.00021
2.00E-05,0.0003,0.00011
0,1.00E-04,6.00E-05
9.00E-05,1.00E-04,8.00E-05
0.00011,0.00011,0.00041
0.00014,4.00E-05,0.00E+00
9.00E-05,0.00017,0.00011
0.00014,0.00066,0.00015
3.00E-05,0.00026,1.00E-04
0.00012,0.00013,2.00E-05
0,0.00016,7.00E-05
5.00E-05,0.00017,8.00E-05
5.00E-05,0.00012,0.0003
0.00021,0.00012,0.00054
0.00013,0.00012,0.00054
0.00018,0.00049,0.00025
0.00023,0.00048,0
0.00011,0.00032,5.00E-05
0.00012,2.00E-05,1.80E-04
0.00021,0.00012,5.00E-05
0.00021,5.00E-05,7.00E-05
1.00E-04,0.00032,0.0002
0.00013,0.00025,0.00014
1.00E-04,0.00019,9.00E-05
3.00E-05,0.00013,0.00028
0.00015,0.00013,0.00014
0.00012,0.00026,0.00026
2.00E-05,5.00E-05,2.70E-04
0,5.00E-05,4.00E-05
7.00E-05,0.00018,0.00011
0.00055,0.00035,0.00021
0.0005,0.00022,0.00028
0.00042,0,8.00E-05
9.00E-05,3.00E-05,1.10E-04
4.00E-05,5.00E-05,1.50E-04
1.00E-04,0.00018,0.00017
0.00027,1.00E-04,5.00E-05
0.00021,0.00041,0
0.00014,3.00E-05,8.00E-05
0.00017,7.00E-05,1.40E-04
0.0001,0,0.00012
8.00E-05,0.00011,0.00012
6.00E-05,9.00E-05,3.40E-04
1.00E-04,0.00027,0.00018
0.00015,5.00E-05,2.60E-04
0.00014,0.00032,0.00036
5.00E-05,0.00015,0.00012
0.00012,0.00047,0.00033
5.00E-05,9.00E-05,5.00E-05
8.00E-05,0.00069,7.00E-05
0.00017,0.00019,0.00015
1.00E-04,0.00052,0.00021
2.00E-05,0.00054,0.00053
7.00E-05,0.00032,0.00029
6.00E-05,0.00021,0.00059
0.00032,0.00016,0
0.00026,7.00E-05,None
0.0002,0.00017,None
0.00017,0.00031,None
9.00E-05,0.00011,None
0.00011,None,None
6.00E-05,None,None
9.00E-05,None,None
1.00E-05,None,None
3.00E-05,None,None
1.00E-04,None,None
7.00E-05,None,None
0.00025,None,None
7.00E-05,None,None
8.00E-05,None,None
7.00E-05,None,None
1.00E-04,None,None
0.00013,None,None
1.00E-04,None,None
0.00012,None,None
5.00E-05,None,None
6.00E-05,None,None
0.00015,None,None
0.00013,None,None
0.00017,None,None
5.00E-05,None,None
8.00E-05,None,None
6.00E-05,None,None
9.00E-05,None,None
3.00E-05,None,None
7.00E-05,None,None
3.00E-05,None,None
0.00043,None,None
0.00031,None,None
0.00022,7.00E-05,None
0.00019,0.00019,None
9.00E-05,0.00014,None
0.00023,0.00017,None
0.00014,0.00041,None
0.00067,0.00011,None
0.00075,3.00E-05,None
0.00075,5.00E-05,None
0.00069,0.00034,None
0.00012,8.00E-05,None
0.00015,1.00E-05,None
5.00E-05,7.00E-05,None
0.00013,0.00013,1.00E-04
1.00E-05,7.00E-05,1.60E-04
6.00E-05,4.00E-05,8.00E-05
0.00013,0.0003,0.00011
1.00E-05,0.00029,0.00033
0.00017,0.00029,0.00042
0.00031,0.00022,0.00059
0.00021,0.00033,0.00023
0.00011,0.00012,0.00026
1.00E-04,1.00E-05,2.00E-04
0.00017,3.00E-05,2.00E-04
3.00E-05,7.00E-05,1.00E-04
3.00E-05,0.00023,0.00012
0.00024,0,0.00014
6.00E-05,8.00E-05,1.00E-04
0.00011,0.00012,1.00E-04
0.0002,0.00026,6.00E-05
6.00E-05,0.00013,0.00035
0.00026,0.00024,8.00E-05
0.00022,2.00E-05,3.00E-05
0.00028,0.00033,4.00E-05
9.00E-05,0.00015,4.00E-05
0.00039,0.00023,3.00E-05
9.00E-05,0.00013,0.00015
0.00024,1.00E-05,1.00E-05
0.00029,1.00E-05,3.00E-05
0.00012,2.00E-05,3.00E-05
7.00E-05,0,5.00E-05
1.00E-04,0.00022,7.00E-05
0.00074,0.00015,3.00E-05
5.00E-05,0.00027,6.00E-05
9.00E-05,0.00047,5.00E-05
1.00E-05,0.00035,0.00057
0.00011,0.00018,0.00052
0.00018,1.00E-04,1.20E-04
0.00018,0.00065,1.00E-05
2.00E-05,0.00028,0.00023
0.00033,9.00E-05,5.00E-05
0.00034,0.00016,3.00E-05
0.00016,9.00E-05,2.00E-05
0.00016,6.00E-05,6.00E-05
9.00E-05,1.00E-04,1.70E-04
0.00016,0.00011,0.00031
0.00044,0.00013,9.00E-05
0.00018,0.00024,0.00089
7.00E-05,0.00015,0.00089
3.00E-05,9.00E-05,8.10E-04
6.00E-05,0.00025,0.00011
1.00E-04,3.00E-05,3.30E-04
0.00011,1.00E-05,4.30E-04
2.00E-05,8.00E-05,3.10E-04
6.00E-05,0.00022,8.00E-05
0.00041,0.00021,5.00E-05
0.00041,0.00018,3.00E-05
0.00012,5.00E-05,1.00E-04
0.00021,0.00056,0.00011
3.00E-05,0.00055,0.00021
0.00026,0.00013,0.00011
0.00017,0.00027,3.00E-05
0.00026,8.00E-05,1.30E-04
3.00E-05,2.00E-05,7.00E-05
0.00012,0.00011,2.00E-05
8.00E-05,0.0002,6.00E-05
0.00027,4.00E-05,2.00E-04
0.00018,0.00051,7.00E-05
0.00026,0.00056,8.00E-05
0,1.00E-04,1.20E-04
0.00013,1.00E-05,1.70E-04
3.00E-05,1.00E-05,2.00E-04
0.00022,0.00028,4.00E-05
0.00058,0.00012,1.00E-04
0,1.00E-05,2.30E-04
0.00024,2.00E-05,1.40E-04
4.00E-05,0.00017,0.00011
4.00E-05,8.00E-05,4.00E-05
0.00019,8.00E-05,2.20E-04
0.00023,0.0003,0.00024
7.00E-05,0.00037,0.0004
7.00E-05,0.00016,0.00027
0.00017,0.00011,0.00042
7.00E-05,0.00017,0.00026
5.00E-05,1.00E-05,1.40E-04
6.00E-05,0.00011,0.00044
0.00012,0.00041,0.00031
0.00011,4.00E-05,4.20E-04
0.00018,8.00E-05,5.30E-04
0.00014,0.00056,0.00036
9.00E-05,0.00033,0.00059
2.00E-05,0.00033,5.00E-05
0.00019,7.00E-05,8.00E-05
0.00031,0.00023,2.00E-05
0.00025,0.00016,1.00E-05
1.00E-04,0.00054,9.00E-05
3.00E-05,0.00054,7.00E-05
0.00134,0.00021,6.00E-05
0.00029,0.00023,7.00E-05
0.00024,7.00E-05,4.20E-04
0.00023,3.00E-05,3.80E-04
0.0002,0.00023,4.00E-05
0.0003,3.00E-05,2.50E-04
4.00E-05,4.00E-05,1.60E-04
5.00E-05,8.00E-05,9.00E-05
0,0.00017,0.00013
0.00012,4.00E-05,1.60E-04
0.0003,0.00016,2.00E-05
0.00017,9.00E-05,5.00E-05
0.00012,8.00E-05,7.00E-05
0.00066,1.00E-04,8.00E-05
0.00017,6.00E-05,2.70E-04
1.00E-05,0.00013,0.00044
None,0.00015,6.00E-05
None,0.00027,0.00011
None,0.00019,0.00018
None,1.00E-04,2.90E-04
None,0.0002,0.00045
None,0.00019,0.0002
None,0.0002,0.00033
None,0.00018,0.00047
None,8.00E-05,3.60E-04
None,0.00011,0.00054
None,0.00045,0.00047
None,0.00032,0.00014
None,0.00012,5.00E-05
None,1.00E-04,3.80E-04
None,1.00E-04,1.50E-04
None,0.00029,9.00E-05
None,0.00038,8.00E-05
None,0.00015,0.00021
None,0.00018,0.0002
None,0.00045,0.00037
None,0.00085,0.00037
None,0.00046,4.00E-05
None,0.00047,2.00E-05
None,0.00073,2.00E-05
None,4.00E-05,2.00E-05
None,0.00074,3.00E-05
None,0.00012,0.00034
None,0.00012,0.00011
None,0.00025,3.00E-05
None,0.00011,3.00E-05
None,None,3.00E-05
None,None,6.00E-05
None,None,0.00017
None,None,0.00016
None,None,5.00E-05
None,6.00E-05,0.00E+00
None,5.00E-05,4.00E-05
None,0.00036,0.00012
None,4.00E-05,1.30E-04
None,8.00E-05,2.00E-04
None,0.00013,0.00018
None,1.00E-04,1.10E-04
None,3.00E-05,6.00E-05
None,2.00E-05,2.20E-04
None,1.00E-05,1.10E-04
None,9.00E-05,6.00E-04
None,3.00E-05,1.40E-04
None,0.00024,0.00022
None,5.00E-05,4.30E-04
None,6.00E-05,2.30E-04
None,0.00022,0.00021
None,6.00E-05,2.20E-04
5.00E-05,7.00E-05,4.90E-04
5.00E-05,0.00015,None
0.00021,0.00041,None
0.00013,0.00046,None
3.00E-05,0.00015,4.00E-05
0.00016,0.00011,0.0002
0.00012,0.00018,5.00E-05
0.00032,5.00E-05,6.00E-05
0.00014,0.0002,6.00E-05
1.00E-04,0.00025,0.00021
5.00E-05,0.00025,0.00015
8.00E-05,0.00032,0.00011
4.00E-05,1.00E-05,6.00E-05
0.0003,7.00E-05,9.00E-05
0.00017,9.00E-05,1.60E-04
2.00E-05,1.00E-04,1.60E-04
4.00E-05,0.0001,1.00E-04
0.00025,0.0001,0.00022
0.00029,6.00E-05,2.40E-04
0.00011,3.00E-05,3.00E-05
0.00042,2.00E-05,6.00E-05
0.00013,6.00E-05,6.00E-05
0.00017,8.00E-05,5.00E-04
6.00E-05,9.00E-05,5.00E-04
3.00E-05,1.00E-05,1.60E-04
8.00E-05,5.00E-05,1.30E-04
8.00E-05,0.0002,0.00012
8.00E-05,2.00E-05,1.80E-04
0.00031,0.00015,1.00E-05
8.00E-05,7.00E-05,3.00E-05
1.00E-05,0.00016,0
0.00017,5.00E-05,1.10E-04
0.00017,5.00E-05,1.70E-04
1.00E-04,7.00E-05,1.20E-04
0.00017,0.00029,0.00018
4.00E-05,0.00044,0
2.00E-05,0.00038,0.00015
2.00E-05,,0.00022
8.00E-05,,2.00E-05
0.00025,,8.00E-05
0.00014,,0.00016
0.00016,,4.00E-05
0.00033,,0.00067
0.00028,,
0.00034,,
0.00017,,
0.00019,,
7.00E-05,,
0.0001,,
3.00E-05,,
0.00013,,
9.00E-05,,
4.00E-05,,
0.00024,,
6.00E-05,,
0.00026,,
0.00027,,
0.00017,,
0.00013,,
3.00E-05,,
0.00054,,
1.00E-05,,
0.00028,,
6.00E-05,,
0.0004,,
3.00E-05,,
0.00084,,
0.00031,,
0.00044,,
0.00033,,
9.00E-05,,
1.00E-05,,
0.00014,,
0.00017,,
0.00011,,
0.00048,,
0.00079,,
0.00068,,
9.00E-05,,
0.00041,,
0.0003,,
0.00052,,
0.00048,,
8.00E-05,,
0.00018,,
0.00012,,
0.00019,,
5.00E-05,,
0.00045,,
0.00047,,
0.00047,,
0.00025,,
0.0001,,
0.00016,,
7.00E-05,,
0.00029,,
8.00E-05,,
0.00065,,
0.0005,,
0.00032,,
0.00019,,
0.00047,,
0.00037,,
0.0004,,
7.00E-05,,
0.00013,,
0.00015,,
0.0002,,
9.00E-05,,
2.00E-05,,
0.00019,,
0.00012,,
0.00019,,
3.00E-05,,
4.00E-05,,
1.00E-05,,
0.00016,,
0.00017,,
8.00E-05,,
0.0002,,
8.00E-05,,
1.00E-04,,
0.00017,,
0.00023,,
0.00023,,
0.00012,,
2.00E-05,,
2.00E-05,,
5.00E-05,,
6.00E-05,,
0.00033,,
0.00015,,
0.00027,,
0.00015,,
0.00024,,
0.00053,,
0.0003,,
1.00E-04,,
0.00024,,
0.00026,,
0.00044,,
0.00049,,
0.00028,,
8.00E-05,,
6.00E-05,,
0.00078,,
0.00038,,
5.00E-05,,
0.00026,,
9.00E-05,,
0.00025,,
0.00012,,
0.00021,,
0.00025,,
None,,
None,,
None,,
None,,
None,,
0.00014,,
0.00024,,
0.00011,,
0.00023,,
1.00E-04,,
4.00E-05,,
0.00022,,
8.00E-05,,
1.00E-04,,
0.00023,,
0.00023,,
0.00026,,
0.00026,,
0,,
0.00013,,
0.00015,,
0.00016,,
1.00E-05,,
6.00E-05,,
0.0002,,
0.00041,,
0.00041,,
0.00016,,
0.00013,,
0.00027,,
0.00014,,
1.00E-04,,
5.00E-05,,
0.00018,,
9.00E-05,,
0.00012,,
0.00029,,
9.00E-05,,
0.00017,,
0.00012,,
0.00031,,
0.00013,,
0.00022,,
0.00014,,
0.00015,,
0.00015,,
4.00E-05,,
4.00E-05,,
0.00022,,
8.00E-05,,
0.00012,,
0.00012,,
8.00E-05,,
0.00012,,
0.00026,,
0.00027,,
0.00062,,
0.00015,,
0.00026,,
7.00E-05,,
1.00E-04,,
5.00E-05,,
0.00013,,
9.00E-05,,
0.00017,,
0.00038,,
0.00024,,
0.00026,,
9.00E-05,,
9.00E-05,,
0.00017,,
0.00054,,
0.00044,,
0.00055,,