Neg,Neu,Pos
3.00E-05,0.0002,0.0002
7.00E-05,0.00016,0.00016
8.00E-05,0.00031,0.00031
0.00029,3.00E-05,3.00E-05
0.00019,0.00012,0.00012
2.00E-05,0.00031,0.00031
3.00E-05,0.00024,0.00024
4.00E-05,8.00E-05,8.00E-05
0.00013,0.00013,0.00013
0.00046,0.00031,0.00031
0.00043,0.0004,0.0004
0.0002,0.0002,0.0002
8.00E-05,0.00013,0.00013
0.00023,3.00E-05,3.00E-05
0.00017,7.00E-05,7.00E-05
3.00E-05,5.00E-05,5.00E-05
0.00034,0.00025,0.00025
0.00031,0.00017,0.00017
0.00016,5.00E-05,5.00E-05
6.00E-05,0.0001,0.0001
8.00E-05,4.00E-05,4.00E-05
0.00058,9.00E-05,9.00E-05
0.00012,0.00011,0.00011
0.00047,0.00018,0.00018
4.00E-05,5.00E-05,5.00E-05
0.00012,3.00E-05,3.00E-05
0.00014,2.00E-05,2.00E-05
0.00019,1.00E-04,1.00E-04
5.00E-05,0.00018,0.00018
0.00018,3.00E-05,3.00E-05
0.00092,0.00046,0.00046
2.00E-05,0.00041,0.00041
0.00029,0.00013,0.00013
0.00039,0.00017,0.00017
None,0.00028,0.00028
None,0.00042,0.00042
5.00E-05,0.00035,0.00035
0,0.0002,0.0002
0.00043,0.00015,0.00015
0.00021,6.00E-05,6.00E-05
8.00E-05,0.0002,0.0002
0.00012,9.00E-05,9.00E-05
0.00087,0.00011,0.00011
0.00012,4.00E-05,4.00E-05
0.00011,0.00025,0.00025
6.00E-05,7.00E-05,7.00E-05
0.00023,0.00019,0.00019
9.00E-05,0.00015,0.00015
0.00028,7.00E-05,7.00E-05
8.00E-05,8.00E-05,8.00E-05
6.00E-05,6.00E-05,6.00E-05
0.0006,6.00E-05,6.00E-05
0.00014,3.00E-05,3.00E-05
8.00E-05,5.00E-05,5.00E-05
0.00012,9.00E-05,9.00E-05
None,0.00012,0.00012
None,8.00E-05,8.00E-05
None,0.00011,0.00011
None,0.0005,0.0005
None,0.00054,0.00054
None,0.00019,0.00019
1.00E-04,0.00024,0.00024
1.00E-04,0.00018,0.00018
4.00E-05,0.00045,0.00045
5.00E-05,0.00047,0.00047
0.00011,0.00051,0.00051
0.00043,0.00036,0.00036
0.00012,0.00026,0.00026
0.00011,0.00016,0.00016
0.00013,5.00E-05,5.00E-05
7.00E-05,4.00E-05,4.00E-05
0.00033,4.00E-05,4.00E-05
0.00011,8.00E-05,8.00E-05
0.00018,3.00E-05,3.00E-05
4.00E-05,0.0002,0.0002
3.00E-05,0.00013,0.00013
4.00E-05,8.00E-05,8.00E-05
4.00E-05,0.00026,0.00026
None,0.00028,0.00028
0.00016,3.00E-05,3.00E-05
3.00E-05,0.00048,0.00048
0,0.00016,0.00016
8.00E-05,0.00033,0.00033
4.00E-05,0.00017,0.00017
0.00067,0.00017,0.00017
,0.00015,0.00015
,0.00016,0.00016
,6.00E-05,6.00E-05
,0.00014,0.00014
,8.00E-05,8.00E-05
,3.00E-05,3.00E-05
,3.00E-05,3.00E-05
,3.00E-05,3.00E-05
,3.00E-05,3.00E-05
,6.00E-05,6.00E-05
,0,0
,1.00E-05,1.00E-05
,0,0
,0.00029,0.00029