Pri_Sub_Pos,Pri_Sub_Neu,Pri_Sub_Neg,Pri_Sub_Urg_Pos,Pri_Sub_Urg_Neu,Pri_Sub_Urg_Neg
0.00027,0.00039,0.00011,0.00015,5.00E-05,3.00E-05
None,0.00094,0.00012,0.00016,0.00015,0.00047
None,0.00021,0.00016,0.00043,0.00049,0.00033
None,0.00056,0.00031,0.00061,9.00E-05,0.00016
None,0.00012,0.00018,0.00031,0,0.0004
None,0.00018,6.00E-05,0.00041,0.00024,0.00031
None,0.00014,0.00053,0.00015,0.00012,1.00E-05
None,0.00021,0.0002,0.00017,0.00039,0.00017
None,0.00013,0.00195,0.00072,6.00E-05,0.00045
None,0.00013,0.00188,0.00044,2.00E-05,0.00021
None,0.00017,0.00036,0.00023,0.00024,7.00E-05
None,3.00E-05,0.0002,5.00E-05,0.00023,0.00011
None,6.00E-05,4.00E-05,0.00013,0.00025,1.00E-04
2.00E-05,1.00E-05,0.00043,0.00078,0.00017,0.00065
6.00E-05,9.00E-05,0.00042,0.00028,0.00092,0.00088
0.00019,1.00E-04,0.00027,0.00014,0.00032,0.00016
0.00024,0.00015,0.00065,0.00012,0.00011,0.00035
0,0.00021,0.00044,0.00014,0.00022,0.0002
0.00018,0.00011,0.00045,0.00055,3.00E-05,0.00016
0.00013,0.00037,0.00027,7.00E-05,7.00E-05,6.00E-05
7.00E-05,0.00011,1.00E-04,5.00E-05,0.00028,0.00012
0.00036,0.0004,0.00013,0.00016,0.00018,0.00055
0.00075,0.0005,0.00033,9.00E-05,0.00016,0.00018
0.0004,0.00024,1.00E-04,0.00025,0.00017,5.00E-05
0.00012,0.00041,0.00024,0.00021,0.00018,4.00E-05
0.00046,0.00041,0.00011,7.00E-05,7.00E-05,0.0002
0.00025,0.00012,8.00E-05,4.00E-05,7.00E-05,0.0002
0.00029,2.00E-05,0.00044,6.00E-05,7.00E-05,0.00017
0.00053,0.00019,6.00E-05,0.0002,8.00E-05,0.00115
0.00042,0.00023,0.00095,0.0004,0.00045,0.00029
0.0002,0.00046,0.00071,0.00029,0.00018,0.00033
8.00E-05,0.00031,0.00032,0.00033,0.00066,0.00017
0.00015,0.00022,0.00042,5.00E-05,0.00038,0.00054
4.00E-05,0.00024,0.00145,0.00026,0.00042,0.00086
0.00074,4.00E-05,0.00022,0.00013,0.00045,4.00E-05
0.00058,1.00E-04,0,0.00032,0.0002,0.00072
0.00078,4.00E-05,0.00087,0.00024,0.00037,0.00017
0.00039,0.00011,4.00E-05,5.00E-05,0.00024,0.00064
0.00039,5.00E-05,0.00016,8.00E-05,0.00012,0.00064
0.00052,5.00E-05,1.00E-05,0.00046,0.0007,0.00223
4.00E-05,0.00015,9.00E-05,0.00043,0.00035,0.00076
0.00015,0.00049,0.00021,0.00013,0.00045,None
0.00026,9.00E-05,0.00032,5.00E-05,0.00033,None
0.00039,0,0.00026,0.00017,5.00E-05,None
0.00029,0.00024,0.00055,0.00029,0.00076,None
0.00026,0.00012,0.00049,0.00047,0.00035,None
0.00043,0.00029,0.00034,0.00019,0.00044,None
0.00019,0.00039,0.00119,1.00E-05,0.00013,None
0.00017,6.00E-05,0.00045,0.0002,5.00E-05,None
0.00012,2.00E-05,0.00059,0.00021,5.00E-05,None
0.00026,0.00024,0.00017,0.00015,0.00025,None
0.00023,0.00023,0.00021,0.00016,1.00E-04,None
4.00E-05,0.00056,0.00024,5.00E-05,6.00E-05,None
7.00E-05,6.00E-05,1.00E-04,0.00022,0.00089,None
0,0.00029,7.00E-05,0.00031,0.00101,None
1.00E-05,0.00014,6.00E-05,0.00046,0.00014,None
0.00011,0.00039,0.00027,0.00037,0.00021,None
0.00014,0.00039,0.00012,0.00052,0.00031,9.00E-05
0.00017,0.00046,0.00012,7.00E-05,0.00029,0.00021
0.00016,0.00037,0.00057,0.0002,0.00016,6.00E-05
0.00017,0.00025,0.00039,0.00059,0.00058,4.00E-05
0.00014,0.00025,0.00019,0.00089,0.00041,0.00039
7.00E-05,0.00022,0.00015,0.00015,0.00027,0.00011
0.00028,0.00017,0.00018,0.00023,0.00067,0.00043
0.00011,0.00092,3.00E-05,0.00023,0.00092,0.00042
0.00027,0.00032,0.00047,0.0004,7.00E-05,0.0005
0.00038,0.00011,0.00033,0.00028,0.00028,6.00E-05
1.00E-04,0.00022,0.00016,0.00032,5.00E-05,5.00E-05
0.00034,3.00E-05,0.0004,0.0004,0.00027,0.00027
0.0003,7.00E-05,0.00031,0.0003,1.00E-04,0.00017
0.00055,0.00028,1.00E-05,0.00011,0.00048,0.00025
8.00E-05,0.00018,0.00017,4.00E-05,0.00045,0.00074
0.00011,0.00016,0.00045,0.00056,1.00E-04,0.00014
0.00015,0.00017,0.00045,0.00033,None,5.00E-05
0.00016,0.00018,0.00021,0.00038,None,0.00053
0.00043,7.00E-05,7.00E-05,6.00E-05,None,1.00E-04
0.00061,7.00E-05,0.00011,1.00E-05,None,0.00036
0.00031,7.00E-05,1.00E-04,0.00025,None,7.00E-05
0.00041,8.00E-05,0.00065,0.00022,0.00044,0.00044
0.00015,0.00045,0.00088,0.00017,0.00019,0.00011
2.00E-05,0.00025,0.00254,0.00016,9.00E-05,0.00016
0.00012,0.00018,0.00016,0.00017,0,7.00E-05
0.00017,0.00066,0.00035,0.00015,6.00E-05,3.00E-05
0.00072,0.00038,0.0002,0.0002,0.00016,0.00026
0.00012,0.00042,0.00016,0.00025,0.00054,0.00017
0.00044,0.00043,6.00E-05,1.00E-04,9.00E-05,0.00118
0.00023,0.00045,0.00012,0.00032,0.00142,0.00101
5.00E-05,0.0002,0.00055,0.00023,9.00E-05,0.00047
0.00013,0.00037,0.00018,0.00025,0.00013,0.00111
0.00078,0.00023,5.00E-05,9.00E-05,3.00E-05,0.00089
1.00E-04,0.00011,4.00E-05,0.00067,0.00018,0.00028
0.00028,0.00011,0.0002,0.0002,0.00019,0.00016
0.00014,0.00027,0.0002,0.00014,1.00E-04,5.00E-05
0.00012,0.00024,0.00017,0.00011,6.00E-05,7.00E-05
0.00014,0.00012,0.00115,0.00042,0.00046,0.00026
0.00055,0.0007,0.00029,0.00036,3.00E-05,0.00021
7.00E-05,0.00035,0.00033,6.00E-05,0.00035,0.00076
6.00E-05,3.00E-05,0.00017,6.00E-05,0.00062,0.00032
5.00E-05,0.00045,0.00054,0.00044,0.00042,0.00069
9.00E-05,0.00033,0.00086,0.00013,0.00041,8.00E-05
0.00016,5.00E-05,4.00E-05,0.00051,0.0005,1.00E-04
9.00E-05,0.00076,0.00045,0.00047,0.00012,0.00012
0.00025,0.00035,0.00072,0.00046,0.00028,0.00022
0.00021,0.00044,0.00017,0.00064,4.00E-05,1.00E-04
7.00E-05,0.00013,0.00064,0.0002,9.00E-05,1.00E-05
7.00E-05,5.00E-05,0.00064,0.00041,0.00022,7.00E-05
4.00E-05,5.00E-05,0.00039,0.00056,0.00027,0.00024
6.00E-05,0.00025,0.00011,0,0.00013,5.00E-05
0.0002,1.00E-04,0.00078,1.00E-04,0.00014,0.00057
0.0006,6.00E-05,0.00223,0.0007,0.0002,0.00083
0.0004,0.00089,0.00077,0.00064,8.00E-05,5.00E-05
0.00029,0.00057,0.00177,0.00034,9.00E-05,0.00034
0.00033,0.00101,0.00076,None,5.00E-05,0.00085
5.00E-05,0.00014,None,None,0.00011,0.00016
0.00026,0.00021,None,None,9.00E-05,0.00046
0.00023,0.00051,None,None,1.00E-04,9.00E-05
0.00013,0.00031,None,None,0.00018,0.00074
0.00032,0.00029,None,None,0.0003,6.00E-05
0.00024,0.00016,None,None,0.00027,0.00031
5.00E-05,0.00058,None,None,0.00033,3.00E-05
8.00E-05,0.00041,None,None,0.00016,7.00E-05
0.00046,0.00027,None,None,0.00019,0.00014
0.00043,0.00067,None,None,0.00074,0.00015
0.00013,0.00092,None,None,0.00031,0.00018
5.00E-05,7.00E-05,None,None,0.00032,8.00E-05
0.00032,0.00028,None,None,0.0014,0.00031
0.00017,5.00E-05,None,None,0.00039,0.0002
0.00029,0.00027,None,0.00021,0.00033,0.00054
0.00047,1.00E-04,None,7.00E-05,0.00047,0.00058
0.00053,1.00E-04,None,1.00E-04,0.00011,0.00032
0.00051,0.00048,9.00E-05,0.00015,0.00011,0.00016
0.00026,0.00045,0.00021,0.00142,1.00E-05,0.00042
0.00019,1.00E-04,6.00E-05,0.00078,2.00E-05,0.00047
1.00E-05,None,4.00E-05,0.0004,0.00026,0.00053
0.0002,None,0.00039,0.0004,0.00014,4.00E-05
0.00021,None,0.00011,9.00E-05,0.0002,0.00025
0.00015,None,0.00043,0.00038,0.00059,0.00029
1.00E-04,None,0.00042,0.00037,0.00047,5.00E-05
0.00016,None,0.0005,0.00093,0.00018,0.00012
5.00E-05,None,6.00E-05,3.00E-05,0.00022,0.00011
0.00022,0.00044,5.00E-05,0.00016,0.00014,5.00E-05
0.00022,0.00019,0.00027,0.00016,0.00026,6.00E-05
0.00031,9.00E-05,0.00017,9.00E-05,0.00023,0.00032
0.00062,0,0.00025,9.00E-05,0.00014,0.00041
0.00046,6.00E-05,0.00059,0.00033,0.00021,0.00019
0.00037,0.00016,0.00074,0.00038,0.00038,0.0002
0.00052,0.00054,0.00014,0.0011,0.00047,0.00048
7.00E-05,9.00E-05,5.00E-05,0.00037,0.0003,0.00033
0.0002,0.00142,0.00016,0.00026,0.00047,0.00104
0.00059,9.00E-05,0.00053,6.00E-05,0.00034,0.00048
8.00E-05,0.00086,0.00037,0.00022,0.0002,0.00069
0.00017,0.00013,0.00022,7.00E-05,0.0002,0.00017
0.00089,0.00023,1.00E-04,2.00E-05,0.00054,0.00021
0.00015,3.00E-05,0.00036,0.00036,0.00045,0.0002
0.00023,6.00E-05,0.00035,8.00E-05,5.00E-05,4.00E-05
0.00023,0.00018,7.00E-05,0.00079,1.00E-04,3.00E-05
0.00032,0.00019,0.00044,0.00077,5.00E-05,0.00023
0.0004,1.00E-04,0.00011,0.00054,0.00037,0.00023
0.00028,6.00E-05,0.00016,0.00021,0.00021,0.00039
0.00032,0.00046,7.00E-05,0.00012,0.00028,0.00023
0.0004,3.00E-05,3.00E-05,4.00E-05,0.00016,0.00042
0.0003,0.00035,0.00026,0.00034,0.00074,7.00E-05
0.00011,0.00062,0.00017,0.00013,0.00016,2.00E-05
4.00E-05,0.00042,0.00118,0.00019,0.0002,0.00092
0.00056,0.00027,0.00101,0.00013,1.00E-05,6.00E-05
0.00033,0.00041,0.00047,0.0003,1.00E-04,
0.00059,0.0005,0.00111,0.00061,0,
0.00038,0.00012,0.00089,0.00011,0.00014,
6.00E-05,0.00028,0.00058,2.00E-05,0.00057,
6.00E-05,4.00E-05,0.0002,0.00016,0.00047,
1.00E-05,9.00E-05,0.00028,1.00E-04,3.00E-05,
0.00025,0.00022,0.00016,0.00039,0.00022,
0.00022,0.00027,5.00E-05,0.00017,0.00023,
5.00E-05,0.00013,7.00E-05,0.00024,0.00037,
0.00017,0.00014,0.00026,0.00015,0.00025,
0.00016,0.0002,0.00021,8.00E-05,1.00E-04,
0.00017,8.00E-05,0.00076,4.00E-05,0.00054,
0.00015,9.00E-05,0.00069,6.00E-05,0.00054,
0.0002,5.00E-05,0.00032,0.00018,0.00021,
0.00025,0.00058,9.00E-05,0.001,0.00013,
1.00E-04,0.00011,0.00049,0.00048,0.00016,
0.00032,9.00E-05,0.00069,0.00018,4.00E-05,
0.00023,1.00E-04,8.00E-05,0.00062,0.00012,
0.00025,0.0006,1.00E-04,0.00032,1.00E-04,
9.00E-05,0.00018,0.00012,0.00095,8.00E-05,
0.00067,0.0003,0.00022,0.0004,3.00E-05,
0.0002,0.00027,1.00E-04,0.00058,9.00E-05,
0.00014,0.00026,1.00E-05,0.00114,0.00039,
0.00011,0.00033,7.00E-05,4.00E-05,6.00E-05,
0.00106,0.00016,0.00024,0.00044,0.00017,
1.00E-04,0.00019,5.00E-05,0.00034,0.00041,
0.00042,0.00074,0.00057,0.00011,0.00026,
0.00036,3.00E-05,0.00017,4.00E-05,,
6.00E-05,0.00031,0.00083,1.00E-05,,
5.00E-05,0.00032,5.00E-05,4.00E-05,,
6.00E-05,0.0014,0.00034,6.00E-05,,
0.00044,0.00039,0.00084,0.00047,,
0.00033,0.00033,0.00085,0.00011,,
0.00013,0.00047,0.00016,0.00022,,
0.00051,0.00024,0.00046,0.0002,,
0.00047,0.00011,0.00034,0.00011,,
0.00046,0.00011,9.00E-05,0.00019,,
0.00064,1.00E-05,0.00074,0.00029,,
0.0002,2.00E-05,6.00E-05,0.00015,,
0.00037,0.00026,0.00028,0.00043,,
0.00041,0.00014,0.00031,0.00032,,
0.0004,0.0002,3.00E-05,0.00035,,
0.00028,0.00059,7.00E-05,0.00011,,
0.00056,0.00047,0.00014,0.00023,,
0.00014,0.00018,0.00015,0.0003,,
0.00073,0.00022,0.00018,1.00E-04,,
0.00034,0.00014,8.00E-05,0,,
0,0.00026,0.00031,0.0002,,
1.00E-04,0.00014,9.00E-05,0.00021,,
0.0007,0.00023,0.0002,0.00017,,
0.00064,0.00014,0.0002,0.0004,,
0.00034,0,0.00054,0.00025,,
0.00083,0.00021,0.00058,8.00E-05,,
0.00204,0.00038,0.00058,0.00058,,
None,0.00047,0.00015,0.0007,,
None,0.0003,0.00032,7.00E-05,,
None,0.00047,0.00015,0.00016,,
None,0.00077,0.00016,0.00038,,
None,0.00022,0.00042,0.00045,,
None,0.00065,0.00076,0.00037,,
None,0.00034,0.00047,0.00047,,
None,0.0002,0.00053,0.00033,,
None,0.0002,4.00E-05,0.00034,,
None,0.00054,0.00025,0.00034,,
None,0.00045,0.00029,0.00047,,
None,5.00E-05,5.00E-05,0.00128,,
None,1.00E-04,0.00012,0.00213,,
None,5.00E-05,0.00011,0.00024,,
None,0.00037,5.00E-05,9.00E-05,,
None,0.00021,6.00E-05,0.00019,,
None,0.00028,0.00032,0.00023,,
0.00021,0.00016,0.00015,7.00E-05,,
7.00E-05,0.00074,0.00041,0.0004,,
1.00E-04,0.00016,0.00019,0.0002,,
0.00021,0.0002,0.0002,0.00022,,
0.00015,1.00E-05,0.00048,0.00131,,
0.00142,1.00E-04,0.00033,0.00041,,
0.00078,0,0.00104,0.00014,,
0.00049,0.00014,0.00048,0.00024,,
0.0004,0.00057,0.00069,0.00054,,
0.0004,0.00047,0.00021,0.00011,,
9.00E-05,3.00E-05,0.00017,0.00015,,
0.00038,0.00022,0.00021,0.00028,,
0.00037,0.00013,0.0002,0.00031,,
0.00093,0.00115,4.00E-05,6.00E-05,,
3.00E-05,0.00109,3.00E-05,0.00025,,
0.00016,0.00023,0.00023,0.00057,,
0.00016,0.00015,0.00023,0.00032,,
9.00E-05,0.00023,0.00039,0.00074,,
9.00E-05,0.00037,0.00023,0.00023,,
9.00E-05,0.00025,0.00042,8.00E-05,,
0.00033,1.00E-04,7.00E-05,0.00013,,
0.00038,0.00011,2.00E-05,,,
0.0011,0.00054,0.00092,,,
0.00037,0.00054,6.00E-05,,,
0.00026,0.00021,,,,
6.00E-05,0.00013,,,,
0.00022,0.00016,,,,
7.00E-05,4.00E-05,,,,
2.00E-05,0.00012,,,,
0.00036,1.00E-04,,,,
8.00E-05,8.00E-05,,,,
0.00079,3.00E-05,,,,
0.00077,9.00E-05,,,,
0.00054,0.00039,,,,
0.00021,7.00E-05,,,,
0.00012,6.00E-05,,,,
4.00E-05,0.00017,,,,
0.00034,0.00041,,,,
0.00013,0.0005,,,,
0.00019,0.00026,,,,
0.00013,,,,,
0.0003,,,,,
0.00061,,,,,
0.00071,,,,,
0.00011,,,,,
2.00E-05,,,,,
0.00016,,,,,
1.00E-04,,,,,
0.00039,,,,,
0.00017,,,,,
0.00024,,,,,
0.00015,,,,,
8.00E-05,,,,,
4.00E-05,,,,,
6.00E-05,,,,,
0.00018,,,,,
0.001,,,,,
0.00048,,,,,
0.00015,,,,,
0.00018,,,,,
0.00062,,,,,
0.00032,,,,,
0.00095,,,,,
0.0004,,,,,
0.00058,,,,,
0.00114,,,,,
4.00E-05,,,,,
0.00044,,,,,
0.00034,,,,,
0.00011,,,,,
4.00E-05,,,,,
1.00E-05,,,,,
4.00E-05,,,,,
6.00E-05,,,,,
0.00047,,,,,
0.00011,,,,,
0.00022,,,,,
0.0002,,,,,
0.00011,,,,,
0.00019,,,,,
0.00029,,,,,
0.00015,,,,,
0.00017,,,,,
0.00015,,,,,
0.00015,,,,,
0.0006,,,,,
0.00043,,,,,
0.00043,,,,,
0.00032,,,,,
0.00035,,,,,
0.00012,,,,,
0,,,,,
0.00011,,,,,
7.00E-05,,,,,
0.00021,,,,,
6.00E-05,,,,,
0.00079,,,,,
0.00023,,,,,
0.0003,,,,,
0.00021,,,,,
0.00013,,,,,
1.00E-04,,,,,
0,,,,,
0.0002,,,,,
0.00021,,,,,
0.00017,,,,,
1.00E-05,,,,,
0.00021,,,,,
0.0004,,,,,
0.00025,,,,,
8.00E-05,,,,,
0.00058,,,,,
0.0007,,,,,
7.00E-05,,,,,
0.00016,,,,,
0.00038,,,,,
0.00045,,,,,
0.00037,,,,,
0.00047,,,,,
0.00033,,,,,
0.00034,,,,,
0.00034,,,,,
0.00047,,,,,
0.00128,,,,,
0.00213,,,,,
0.00024,,,,,
9.00E-05,,,,,
0.00019,,,,,
0.00023,,,,,
7.00E-05,,,,,
0.0004,,,,,
0.0002,,,,,
0.00022,,,,,
0.00023,,,,,
0.00131,,,,,
0.00041,,,,,
0.00014,,,,,
0.00024,,,,,
0.00054,,,,,
0.00011,,,,,
0.00015,,,,,
0.00028,,,,,
0.00015,,,,,
0.00031,,,,,
6.00E-05,,,,,
0.00025,,,,,
0.00118,,,,,
0.00015,,,,,
0.00057,,,,,
0.00032,,,,,
0.00074,,,,,
0.00023,,,,,
8.00E-05,,,,,
8.00E-05,,,,,
0.00013,,,,,
0.00036,,,,,